,0
Annual return,0.11520349850859457
Cumulative returns,0.014381068146722464
Annual volatility,0.38091971724680074
Sharpe ratio,0.4721412874466969
Calmar ratio,0.9391870443270667
Stability,0.3643781234312737
Max drawdown,-0.12266299796664953
Omega ratio,1.0762538667831656
Sortino ratio,0.6514484031934054
Skew,-0.40677962675381396
Kurtosis,-0.6986803700950204
Tail ratio,0.8149871738016744
Daily value at risk,-0.047277691151103876
