round,date,reward,wealth,AGG_ret,DBC_ret,SPY_ret,AGG_weight,DBC_weight,SPY_weight,,,,,
0,2009/10/31,-9917.329551,987526.0198,0.002218335,0.069356346,-0.019224848,0.046163496,0.065036096,0.888800383,,,,,
0,2009/11/30,55911.6209,1049369.086,0.01286414,0.045358024,0.061606868,0.118024439,0.399102151,0.48287341,,,,,
0,2009/12/31,12024.39338,1006119.001,-0.018813611,-0.001621898,0.019100923,0.178883731,0.299169183,0.521947145,,,,,
0,2010/1/31,-52468.7496,958646.6312,0.014149089,-0.078391556,-0.036342483,0.205729023,0.366202295,0.428068697,,,,,
0,2010/2/28,29829.37823,1022281.563,0.001984612,0.041427778,0.031194861,0.364553124,0.169588938,0.465857953,,,,,
0,2010/3/31,88775.61632,1026074.732,-6.76E-05,-0.004655026,0.060879421,0.456487596,0.106556617,0.43695578,,,,,
0,2010/4/30,26315.5773,1019240.654,0.009732476,0.039115624,0.015469959,0.148510516,0.195501834,0.65598768,,,,,
0,2010/5/31,-54703.79694,947429.6406,0.010824704,-0.101473008,-0.07945435,0.398428947,0.412640691,0.188930407,,,,,
0,2010/6/30,-26903.5962,970522.1398,0.017686733,-0.017759498,-0.051741074,0.264949948,0.113835745,0.621214271,,,,,
0,2010/7/31,59914.29212,1057233.031,0.008547829,0.061195941,0.068300714,0.173366487,0.099727079,0.726906478,,,,,
0,2010/8/31,-38335.16167,968700.2763,0.012867184,-0.030143987,-0.044980868,0.210880235,0.099895403,0.689224422,,,,,
0,2010/9/30,126194.0117,1032504.337,7.34E-05,0.086035986,0.089554703,0.632367313,0.132239148,0.235393509,,,,,
0,2010/10/31,53955.61836,1034319.897,0.001523172,0.044379845,0.038202575,0.131784052,0.153965041,0.714250863,,,,,
0,2010/11/30,-5947.474686,996138.2223,-0.008349933,-0.004368477,0,0.389386117,0.139735132,0.47087881,,,,,
0,2010/12/31,124837.0275,1047718.677,-0.006753132,0.098922938,0.066852546,0.341525316,0.187223539,0.47125116,,,,,
0,2011/1/31,46913.24757,1025005.21,-0.000851756,0.03557173,0.023299972,0.091705881,0.319440305,0.588853776,,,,,
0,2011/2/28,62275.31889,1022964.861,0.002905009,0.041710451,0.034737106,0.420533925,0.231486142,0.347979903,,,,,
0,2011/3/31,4791.058109,1003025.742,-0.002230589,0.0265815,0.000119995,0.284490496,0.135081738,0.580427766,,,,,
0,2011/4/30,56159.09647,1030337.103,0.015675676,0.045558791,0.028961683,0.024177263,0.102225028,0.873597682,,,,,
0,2011/5/31,-20575.51373,983693.465,0.012397726,-0.051724138,-0.011214547,0.227120399,0.258082509,0.514797091,,,,,
0,2011/6/30,-27390.11247,979458.0554,-0.00445199,-0.042644666,-0.016869907,0.197862014,0.23779352,0.564344525,,,,,
0,2011/7/31,45300.94095,1013246.418,0.016866228,0.045580218,-0.020004783,0.714580595,0.10526631,0.180153072,,,,,
0,2011/8/31,-13711.11343,975375.8877,0.015204547,-0.003963047,-0.054975214,0.132569343,0.412596017,0.45483464,,,,,
0,2011/9/30,-66015.00078,943707.9558,0.007705808,-0.146220249,-0.069420931,0.411965251,0.242771044,0.34526369,,,,,
0,2011/10/31,65074.8381,1078244.102,0.001265516,0.076504886,0.109147256,0.223597422,0.207738355,0.568664193,,,,,
0,2011/11/30,-2727.32159,996335.2818,-0.003307808,-0.00288595,-0.004063731,0.187004179,0.218760833,0.594235063,,,,,
0,2011/12/31,8008.144184,1008869.435,0.013566828,-0.028943581,0.010448291,0.049656246,0.044011887,0.906331837,,,,,
0,2012/1/31,85299.4537,1040643.604,0.007256442,0.03688523,0.046374769,0.115327835,0.128534645,0.75613755,,,,,
0,2012/2/29,92611.03174,1041728.857,-0.000134877,0.053539453,0.043405208,0.07061699,0.137979448,0.791403592,,,,,
0,2012/3/31,1299.884156,1000545.324,-0.005729994,-0.017735491,0.032163732,0.402434438,0.32803452,0.269531041,,,,,
0,2012/4/30,-1566.560627,999310.0039,0.009059711,-0.013541542,-0.006675911,0.450663537,0.16102764,0.388308793,,,,,
0,2012/5/31,-92396.88778,943559.5114,0.010782371,-0.111580519,-0.060055624,0.173219398,0.167984381,0.658796251,,,,,
0,2012/6/30,24434.32571,1021421.233,-0.000197385,0.020206009,0.040581335,0.308205605,0.323522151,0.368272185,,,,,
0,2012/7/31,22503.4314,1017804.578,0.013620034,0.05825257,0.011829799,0.088805102,0.125278994,0.785915852,,,,,
0,2012/8/31,78114.27732,1034487.22,2.82E-07,0.056513742,0.025052349,0.160928965,0.428031623,0.411039531,,,,,
0,2012/9/30,33658.98975,1015900.905,0.002666007,-0.003820786,0.025350672,0.286640584,0.10103783,0.612321556,,,,,
0,2012/10/31,-46252.73138,979036.8427,-0.0004724,-0.039051647,-0.018198057,0.286869973,0.37643674,0.336693376,,,,,
0,2012/11/30,7509.71845,1005990.399,0.002706555,0.019593591,0.005659434,0.14434132,0.054340411,0.801318228,,,,,
0,2012/12/31,-21291.13973,996627.6237,-0.002451122,-0.01138777,0.008934534,0.63276583,0.251076669,0.116157517,,,,,
0,2013/1/31,85808.40709,1042581.735,-0.00621232,0.024837938,0.051190573,0.083357513,0.145104095,0.771538377,,,,,
0,2013/2/28,27282.98274,1006500.099,0.005908586,-0.047067163,0.012758943,0.625789046,0.032961641,0.341249377,,,,,
0,2013/3/31,71829.15276,1022426.444,0.000985803,0.006634822,0.03797095,0.295987099,0.146711737,0.557301104,,,,,
0,2013/4/30,10807.41346,1008745.714,0.009685948,-0.038081308,0.019212308,0.062689885,0.172259808,0.765050292,,,,,
0,2013/5/31,-25193.59617,990555.9185,-0.020012059,-0.015607067,0.023609886,0.400406033,0.397467822,0.202126116,,,,,
0,2013/6/30,-20194.45955,983912.8562,-0.015653809,-0.028229026,-0.013344754,0.260995388,0.143758252,0.595246375,,,,,
0,2013/7/31,109337.5092,1032693.137,0.002691212,0.031834484,0.051676894,0.236220539,0.37356016,0.390219331,,,,,
0,2013/8/31,-45884.26784,978065.0695,-0.008263658,0.028152738,-0.029992346,0.205942839,0.061613936,0.732443213,,,,,
